Date,Home_ID,City,Energy_Consumption_kWh,Occupancy,Temperature_C,Humidity_%,HVAC_Usage_kWh,Kitchen_Usage_kWh,Electronics_Usage_kWh
2024-01-19 16:00:00,Home_1,Pune,,1,13.68,79.4,0.71,1.03,0.66
2024-03-22 05:00:00,Home_6,Hyderabad,4.79,1,18.95,50.21,1.01,0.32,0.65
2024-03-27 00:00:00,Home_3,Hyderabad,4.14,1,23.36,54.67,0.62,0.95,0.44
2024-03-31 11:00:00,Home_9,Pune,,0,26.99,59.9,1.3,0.28,0.5
2024-03-01 02:00:00,Home_8,Jaipur,1.68,1,26.97,57.78,0.87,1.02,0.24
2024-02-01 03:00:00,Home_3,Pune,3.96,0,,45.53,2.42,0.97,1.03
2024-02-18 19:00:00,Home_7,Bangalore,2.27,1,14.54,69.8,1.09,0.46,0.65
2024-01-12 01:00:00,Home_4,Delhi,3.28,1,22.86,79.79,1.23,1.26,0.89
2024-01-23 15:00:00,Home_10,Chennai,6.02,1,26.96,29.53,1.78,1.38,0.91
2024-04-05 22:00:00,Home_2,Mumbai,2.86,1,31.59,68.51,,1.05,0.5
2024-02-17 20:00:00,Home_1,Delhi,4.34,1,12.53,,1.43,0.64,0.48
2024-03-06 21:00:00,Home_6,Hyderabad,3.58,1,29.29,43.31,1.2,1.29,0.38
2024-02-25 23:00:00,Home_2,Chennai,2.84,1,24.17,49.28,0.9,0.58,0.42
2024-02-14 14:00:00,Home_9,Bangalore,4.44,1,23.34,89.71,1.46,0.54,0.43
2024-03-24 22:00:00,Home_8,Bangalore,5.37,0,31.42,58.36,0.53,0.94,0.25
2024-02-27 16:00:00,Home_7,Pune,1.52,1,25.06,22.82,0.78,0.71,0.17
2024-01-09 21:00:00,Home_4,Lucknow,3.76,0,26.81,36.89,0.54,0.83,0.59
2024-01-09 18:00:00,Home_3,Jaipur,4.01,0,32.84,50.26,0.89,1.59,0.06
2024-02-20 01:00:00,Home_6,Jaipur,3.75,0,27.21,51.88,1.41,0.62,0.86
2024-04-07 18:00:00,Home_9,Delhi,4.44,1,25.87,66.18,0.8,1.0,0.46
2024-02-23 22:00:00,Home_10,Hyderabad,3.64,1,23.22,,1.35,0.44,0.54
2024-01-03 05:00:00,Home_2,Chennai,33.48,1,32.68,84.52,1.17,0.15,0.64
2024-01-06 21:00:00,Home_7,Chennai,5.07,1,28.45,45.3,1.33,0.88,0.98
2024-04-13 09:00:00,Home_10,Lucknow,4.72,0,27.3,65.28,1.04,0.74,0.93
2024-01-06 04:00:00,Home_1,Jaipur,4.88,1,22.18,56.11,1.25,0.39,0.4
2024-02-01 00:00:00,Home_3,Hyderabad,2.78,1,29.35,89.12,0.64,1.21,0.62
2024-03-16 02:00:00,Home_6,Mumbai,1.02,1,28.68,86.37,1.32,1.58,0.79
2024-03-26 07:00:00,Home_7,Pune,4.88,0,20.91,50.87,0.66,1.17,0.98
2024-04-11 22:00:00,Home_4,Ahmedabad,3.46,1,20.47,70.53,0.79,0.74,0.19
2024-02-14 15:00:00,Home_1,Jaipur,3.87,0,20.06,38.91,0.02,0.94,0.83
2024-02-03 12:00:00,Home_9,Kolkata,3.58,0,21.65,73.93,0.84,0.52,0.56
2024-04-04 14:00:00,Home_8,Mumbai,3.04,1,35.92,63.67,0.07,0.75,0.47
2024-02-23 05:00:00,Home_10,Pune,4.54,0,32.57,49.49,0.98,0.98,0.37
2024-02-19 20:00:00,Home_6,Delhi,3.9,0,24.71,82.84,0.71,0.83,0.9
2024-03-27 20:00:00,Home_2,Mumbai,3.15,1,25.78,56.35,0.95,0.92,0.52
2024-03-18 17:00:00,Home_6,Delhi,5.34,1,13.95,54.19,1.05,0.57,0.87
2024-01-21 18:00:00,Home_9,Delhi,3.9,1,25.86,55.96,0.63,0.21,0.43
2024-03-17 09:00:00,Home_4,Chennai,2.55,1,9.81,42.47,1.36,1.13,0.92
2024-01-17 15:00:00,Home_8,Kolkata,4.55,1,18.92,32.17,1.35,1.2,0.5
2024-04-01 17:00:00,Home_2,Hyderabad,5.31,1,20.62,89.55,2.17,0.24,0.66
2024-02-10 01:00:00,Home_1,Lucknow,3.7,0,,57.42,1.07,1.63,0.35
2024-01-25 12:00:00,Home_6,Bangalore,0.77,1,29.63,68.58,0.63,0.7,0.58
2024-03-22 15:00:00,Home_8,Mumbai,2.22,1,25.11,,1.26,0.75,0.65
2024-03-27 16:00:00,Home_1,Ahmedabad,1.69,1,15.92,86.39,1.65,1.08,0.24
2024-02-13 09:00:00,Home_3,Lucknow,2.67,1,28.32,85.23,1.07,1.59,-0.23
2024-01-31 08:00:00,Home_2,Bangalore,2.62,1,20.43,73.0,1.71,0.74,0.14
2024-02-25 22:00:00,Home_10,Chennai,2.52,1,32.37,53.83,0.3,1.56,-0.13
2024-02-12 00:00:00,Home_10,Jaipur,0.28,1,23.2,45.63,0.38,1.17,0.63
2024-02-25 07:00:00,Home_10,Hyderabad,2.17,0,24.88,53.24,0.33,0.87,1.32
2024-02-26 02:00:00,Home_3,Jaipur,5.21,0,20.28,89.45,0.72,0.76,0.13
2024-02-17 22:00:00,Home_4,Kolkata,3.25,1,28.14,68.44,1.58,1.01,0.56
2024-03-28 16:00:00,Home_3,Hyderabad,4.94,1,22.99,62.74,1.07,1.13,0.53
2024-03-11 00:00:00,Home_3,Jaipur,2.84,1,21.2,65.22,0.3,0.53,0.5
2024-02-22 13:00:00,Home_9,Hyderabad,1.74,1,27.26,55.27,1.08,0.92,0.45
2024-02-24 23:00:00,Home_7,Mumbai,3.25,1,20.03,59.32,0.83,0.15,0.21
2024-03-19 13:00:00,Home_9,Lucknow,4.11,1,22.8,58.12,0.43,0.49,0.78
2024-02-22 04:00:00,Home_9,Pune,3.0,1,27.17,59.66,1.05,0.67,0.76
2024-02-06 08:00:00,Home_4,Bangalore,3.04,1,19.69,73.24,1.1,-0.11,0.93
2024-01-22 06:00:00,Home_3,Chennai,4.73,1,7.73,78.76,0.94,1.4,0.92
2024-03-30 09:00:00,Home_5,Bangalore,3.14,1,30.38,59.11,0.09,0.76,0.28
2024-01-04 11:00:00,Home_1,Hyderabad,3.46,1,20.34,84.2,0.78,1.37,0.09
2024-02-23 20:00:00,Home_2,Bangalore,2.86,0,17.06,61.22,,1.18,0.47
2024-02-05 22:00:00,Home_10,Hyderabad,5.5,1,20.08,47.33,1.18,0.61,0.38
2024-04-07 11:00:00,Home_8,Jaipur,4.78,1,23.41,58.84,0.57,0.49,0.67
2024-02-11 09:00:00,Home_8,Mumbai,1.94,1,23.69,75.76,1.57,0.33,0.64
2024-01-14 19:00:00,Home_7,Mumbai,5.28,0,33.51,67.08,0.82,0.78,0.53
2024-03-24 13:00:00,Home_7,Chennai,6.04,1,18.28,40.67,1.03,0.49,0.79
2024-03-01 09:00:00,Home_1,Hyderabad,4.02,1,26.69,46.26,0.84,0.91,0.22
2024-03-25 09:00:00,Home_4,Hyderabad,5.74,1,,72.84,1.27,1.2,0.56
2024-03-24 16:00:00,Home_4,Kolkata,3.45,0,33.63,41.85,1.24,1.04,0.29
2024-01-21 04:00:00,Home_8,Kolkata,2.72,0,24.34,79.95,0.74,0.5,1.05
2024-03-24 04:00:00,Home_7,Pune,3.5,1,27.78,35.49,1.23,0.86,0.09
2024-04-13 03:00:00,Home_6,Lucknow,2.15,1,36.16,59.01,0.84,1.09,0.5
2024-03-20 09:00:00,Home_5,Hyderabad,3.73,1,,71.23,0.13,0.54,0.59
2024-03-29 23:00:00,Home_1,Pune,4.23,1,25.4,62.88,1.27,1.27,0.24
2024-04-07 06:00:00,Home_4,Mumbai,4.34,1,26.19,47.16,1.11,1.0,-0.11
2024-01-05 06:00:00,Home_7,Kolkata,2.04,0,22.98,54.65,0.82,0.34,0.52
2024-01-09 11:00:00,Home_6,Jaipur,3.61,1,30.42,63.6,0.83,0.52,0.6
2024-01-08 11:00:00,Home_6,Delhi,4.28,1,26.91,58.22,1.1,0.56,0.23
2024-04-12 05:00:00,Home_3,Chennai,5.55,1,29.42,63.37,0.93,0.1,0.6
2024-04-05 03:00:00,Home_10,Hyderabad,3.1,1,21.04,73.52,0.84,0.18,0.17
2024-01-03 10:00:00,Home_6,Bangalore,3.4,1,21.78,67.12,1.73,0.8,0.28
2024-01-26 10:00:00,Home_5,Ahmedabad,1.94,1,22.62,46.11,0.71,1.06,0.57
2024-03-14 17:00:00,Home_8,Delhi,3.48,0,25.09,61.11,-0.04,1.5,0.35
2024-02-02 17:00:00,Home_3,Hyderabad,2.3,0,19.46,48.37,1.21,0.76,0.41
2024-04-03 04:00:00,Home_4,Jaipur,3.26,1,25.71,82.14,0.91,1.5,0.22
2024-03-13 09:00:00,Home_1,Bangalore,4.72,1,24.43,77.67,1.45,0.53,0.78
2024-04-13 00:00:00,Home_6,Delhi,5.52,1,22.69,63.8,1.12,1.27,0.19
2024-03-28 18:00:00,Home_6,Pune,4.48,1,26.34,62.86,1.39,1.13,0.07
2024-01-19 02:00:00,Home_10,Jaipur,2.86,1,23.24,36.92,1.5,1.01,0.69
2024-03-22 03:00:00,Home_6,Lucknow,1.46,1,24.22,50.15,1.42,-0.52,0.82
2024-01-12 06:00:00,Home_4,Jaipur,3.62,0,20.39,67.81,1.27,0.26,1.04
2024-01-10 05:00:00,Home_9,Pune,4.9,1,31.03,62.05,0.86,0.97,0.78
2024-02-25 08:00:00,Home_7,Ahmedabad,6.39,1,27.51,87.13,0.91,0.88,0.25
2024-02-07 02:00:00,Home_2,Hyderabad,2.66,0,21.94,44.03,2.07,0.4,0.62
2024-02-29 14:00:00,Home_9,Hyderabad,3.68,1,28.04,50.0,0.68,0.79,0.65
2024-04-11 10:00:00,Home_4,Pune,3.35,0,17.01,52.67,1.01,0.08,0.54
2024-02-23 00:00:00,Home_2,Lucknow,3.08,1,23.19,47.42,1.59,0.82,-0.29
2024-03-21 03:00:00,Home_1,Hyderabad,2.29,1,20.73,79.49,1.16,1.16,0.66
2024-02-23 12:00:00,Home_5,Hyderabad,4.03,1,18.56,78.33,,0.57,0.37
2024-03-23 15:00:00,Home_7,Pune,4.02,1,24.31,65.9,0.71,0.89,0.25
2024-01-13 08:00:00,Home_5,Bangalore,4.97,1,26.01,,2.55,1.04,0.41
2024-02-08 18:00:00,Home_8,Hyderabad,5.6,1,23.33,59.2,1.25,1.01,0.71
2024-02-08 09:00:00,Home_10,Mumbai,3.72,1,25.52,67.3,2.29,0.82,0.34
2024-01-15 01:00:00,Home_9,Hyderabad,3.31,1,16.87,48.54,0.84,0.82,0.45
2024-03-15 01:00:00,Home_4,Lucknow,5.14,1,24.19,53.13,0.85,1.49,0.37
2024-03-02 10:00:00,Home_9,Mumbai,3.69,1,27.52,56.93,1.04,0.1,0.46
2024-01-20 06:00:00,Home_10,Delhi,3.31,1,26.36,62.97,0.26,0.43,0.74
2024-02-09 06:00:00,Home_8,Jaipur,3.62,0,29.04,62.82,0.2,1.11,0.99
2024-03-13 05:00:00,Home_4,Lucknow,3.83,1,33.42,78.5,1.34,-0.01,0.4
2024-01-08 17:00:00,Home_2,Bangalore,4.82,0,26.8,57.87,1.29,0.75,0.28
2024-02-02 12:00:00,Home_7,Chennai,2.65,1,15.89,52.71,0.97,1.18,0.56
2024-03-31 10:00:00,Home_3,Hyderabad,3.6,1,34.49,54.2,1.51,0.35,0.44
2024-01-22 07:00:00,Home_9,Delhi,2.7,1,29.98,42.16,0.69,0.86,0.81
2024-03-04 01:00:00,Home_10,Lucknow,2.83,1,24.77,53.25,0.94,0.73,0.53
2024-02-02 20:00:00,Home_7,Bangalore,5.68,1,15.8,48.25,0.84,0.53,0.34
2024-01-10 21:00:00,Home_9,Chennai,4.44,1,24.7,80.65,0.99,1.27,0.5
2024-03-28 19:00:00,Home_5,Ahmedabad,2.99,1,25.29,63.12,0.61,0.41,0.62
2024-03-12 16:00:00,Home_4,Pune,3.53,1,24.05,68.11,0.35,0.33,0.56
2024-02-13 08:00:00,Home_9,Ahmedabad,2.21,1,22.78,73.99,1.5,0.64,0.14
2024-04-08 23:00:00,Home_9,Kolkata,4.96,1,15.93,69.08,1.5,0.44,0.6
2024-03-13 01:00:00,Home_6,Pune,13.93,1,33.0,89.82,,0.22,0.14
2024-03-22 18:00:00,Home_5,Delhi,3.69,1,22.19,58.75,0.88,0.94,0.78
2024-03-24 09:00:00,Home_6,Jaipur,3.07,1,13.19,42.68,2.24,0.67,0.31
2024-02-21 08:00:00,Home_7,Mumbai,1.2,1,23.06,71.36,1.46,0.43,0.92
2024-02-16 10:00:00,Home_7,Ahmedabad,2.85,1,19.48,35.09,1.09,0.4,0.53
2024-04-09 04:00:00,Home_8,Delhi,1.27,0,25.65,75.49,1.12,0.52,0.47
2024-01-07 00:00:00,Home_1,Pune,2.9,1,22.18,75.81,1.23,0.78,0.11
2024-03-04 17:00:00,Home_4,Jaipur,0.3,1,22.09,46.8,1.53,1.02,0.48
2024-04-07 16:00:00,Home_7,Lucknow,3.69,0,26.95,24.3,1.82,0.38,0.99
2024-01-02 00:00:00,Home_9,Bangalore,3.14,1,30.48,61.13,1.61,0.98,0.83
2024-03-01 22:00:00,Home_3,Kolkata,4.08,0,20.55,68.87,0.22,0.93,0.41
2024-02-24 20:00:00,Home_3,Bangalore,3.42,1,34.43,66.46,1.24,0.83,0.25
2024-02-27 18:00:00,Home_4,Mumbai,5.99,0,22.52,77.63,1.8,1.27,0.75
2024-01-21 15:00:00,Home_1,Hyderabad,4.57,1,25.01,59.25,0.74,0.76,0.46
2024-03-13 14:00:00,Home_5,Delhi,2.55,1,13.21,71.82,1.6,1.04,0.61
2024-03-26 23:00:00,Home_7,Jaipur,2.51,0,15.37,68.52,1.13,1.16,0.39
2024-02-19 08:00:00,Home_4,Pune,2.18,1,14.09,53.97,0.55,0.75,0.13
2024-04-01 14:00:00,Home_6,Bangalore,4.87,1,34.84,92.4,1.3,0.63,0.27
2024-01-29 08:00:00,Home_2,Jaipur,3.62,0,23.18,51.66,0.47,0.59,0.23
2024-02-01 11:00:00,Home_6,Lucknow,4.46,1,36.37,54.22,1.46,1.0,0.42
2024-03-18 02:00:00,Home_9,Bangalore,4.17,1,25.49,27.58,1.64,0.57,0.01
2024-01-01 22:00:00,Home_10,Ahmedabad,2.49,1,22.23,60.69,0.75,0.28,-0.17
2024-03-27 23:00:00,Home_7,Mumbai,2.8,1,22.14,71.1,1.04,0.71,0.78
2024-03-21 23:00:00,Home_8,Pune,3.08,1,15.2,70.05,0.3,0.95,0.79
2024-03-18 05:00:00,Home_6,Lucknow,2.91,1,20.56,67.18,1.58,0.51,0.58
2024-01-10 17:00:00,Home_1,Hyderabad,2.16,1,18.51,56.62,0.82,1.07,0.46
2024-03-19 15:00:00,Home_5,Bangalore,5.82,1,21.22,49.41,1.04,0.73,0.58
2024-02-09 15:00:00,Home_3,Jaipur,1.86,0,17.74,47.67,-0.17,0.45,0.81
2024-03-31 00:00:00,Home_5,Lucknow,1.64,1,17.36,48.48,1.25,1.02,0.49
2024-01-10 06:00:00,Home_9,Mumbai,3.82,1,17.87,54.61,0.36,1.69,0.37
2024-04-12 20:00:00,Home_2,Ahmedabad,2.87,0,27.42,22.09,1.26,0.75,0.49
2024-03-13 16:00:00,Home_1,Pune,2.4,0,30.5,51.98,0.18,0.17,0.45
2024-01-09 14:00:00,Home_4,Delhi,1.57,0,29.1,58.98,1.03,0.44,0.78
2024-02-18 02:00:00,Home_7,Lucknow,4.84,1,20.98,71.21,0.69,0.59,0.9
2024-03-10 20:00:00,Home_9,Mumbai,3.59,1,,65.11,0.55,0.65,0.51
2024-03-08 15:00:00,Home_6,Hyderabad,4.92,1,18.28,89.79,1.87,0.83,0.57
2024-02-03 14:00:00,Home_4,Kolkata,2.3,0,23.13,51.43,1.13,0.4,0.52
2024-01-06 16:00:00,Home_9,Kolkata,5.67,1,16.59,86.67,2.3,0.82,0.66
2024-01-22 01:00:00,Home_6,Delhi,4.85,0,18.93,55.76,1.07,1.36,0.33
2024-03-09 14:00:00,Home_4,Pune,4.3,0,19.63,61.97,2.07,0.99,0.51
2024-02-06 05:00:00,Home_3,Hyderabad,1.55,1,18.03,74.93,0.95,0.15,0.3
2024-01-30 18:00:00,Home_7,Bangalore,5.02,1,21.65,59.7,0.82,0.68,0.55
2024-04-06 15:00:00,Home_6,Jaipur,2.72,0,30.07,,-0.02,-0.18,0.9
2024-01-23 16:00:00,Home_9,Kolkata,3.17,0,23.82,53.15,1.75,0.58,0.23
2024-02-07 00:00:00,Home_2,Bangalore,3.93,1,20.88,45.19,1.58,0.9,0.81
2024-03-30 04:00:00,Home_3,Delhi,1.84,0,37.4,28.25,1.1,0.68,0.81
2024-03-12 18:00:00,Home_10,Pune,4.23,1,22.28,51.81,0.3,0.52,0.29
2024-01-16 19:00:00,Home_3,Hyderabad,1.31,1,18.84,55.88,1.99,0.89,0.07
2024-03-02 17:00:00,Home_2,Chennai,2.41,0,12.61,62.07,-0.06,0.86,0.27
2024-04-05 23:00:00,Home_2,Lucknow,3.18,0,26.53,69.97,1.09,0.9,0.59
2024-02-07 03:00:00,Home_4,Kolkata,2.46,0,26.71,65.73,1.33,0.94,0.14
2024-01-08 09:00:00,Home_2,Kolkata,4.5,1,28.87,63.24,1.98,1.55,0.94
2024-04-10 05:00:00,Home_9,Chennai,4.56,1,14.82,51.82,0.34,0.42,0.46
2024-01-03 13:00:00,Home_6,Lucknow,3.43,0,21.62,32.35,0.43,0.89,0.35
2024-02-03 22:00:00,Home_6,Chennai,2.66,0,21.23,64.43,0.04,1.22,0.55
2024-03-26 01:00:00,Home_7,Ahmedabad,3.06,0,24.75,71.06,0.49,1.11,0.16
2024-01-31 18:00:00,Home_4,Chennai,4.54,0,23.54,66.47,1.07,1.07,0.5
2024-03-16 23:00:00,Home_10,Kolkata,4.31,1,19.09,94.19,0.29,0.43,0.77
2024-03-12 06:00:00,Home_10,Lucknow,1.14,0,35.01,,1.88,0.99,0.29
2024-04-06 22:00:00,Home_7,Ahmedabad,4.39,0,24.37,55.92,0.25,1.2,0.7
2024-02-10 12:00:00,Home_6,Jaipur,3.16,0,22.55,43.36,1.38,0.84,0.61
2024-02-15 12:00:00,Home_1,Bangalore,4.61,1,32.85,51.77,1.3,1.12,0.61
2024-03-05 08:00:00,Home_4,Delhi,4.03,0,23.95,39.37,1.11,0.78,0.63
2024-04-11 13:00:00,Home_1,Ahmedabad,,1,27.0,48.89,0.18,0.46,0.08
2024-03-28 11:00:00,Home_10,Ahmedabad,3.53,0,18.21,63.34,1.47,0.85,0.56
2024-01-03 06:00:00,Home_8,Lucknow,3.15,1,18.64,51.04,0.43,1.35,0.52
2024-02-04 20:00:00,Home_6,Jaipur,2.73,1,26.22,54.34,1.42,0.64,0.07
2024-01-27 06:00:00,Home_3,Bangalore,6.13,0,27.26,48.99,1.05,0.75,0.69
2024-04-01 16:00:00,Home_7,Bangalore,3.25,1,29.5,62.0,1.51,0.83,0.4
2024-01-16 07:00:00,Home_5,Kolkata,2.08,1,21.38,45.33,0.47,0.45,0.39
2024-01-12 03:00:00,Home_4,Lucknow,3.27,0,28.94,55.46,-0.01,0.29,0.83
2024-03-16 10:00:00,Home_2,Delhi,5.89,0,19.0,48.05,0.84,0.69,0.41
2024-03-30 01:00:00,Home_1,Kolkata,2.39,1,10.02,60.37,1.12,1.33,0.23
2024-03-24 06:00:00,Home_2,Hyderabad,4.69,1,22.9,73.32,0.65,1.04,0.89
2024-02-10 22:00:00,Home_3,Bangalore,2.62,1,33.7,52.28,1.07,0.05,0.2
2024-02-07 17:00:00,Home_8,Lucknow,2.76,0,15.74,50.79,1.06,1.18,0.62
2024-01-14 09:00:00,Home_7,Bangalore,5.22,1,18.83,52.1,0.92,1.32,-0.21
2024-02-27 08:00:00,Home_5,Delhi,2.52,1,25.87,40.84,1.45,0.75,0.07
2024-02-22 08:00:00,Home_9,Lucknow,2.08,1,27.77,69.96,0.5,0.92,0.4
2024-03-23 13:00:00,Home_2,Delhi,2.75,1,27.34,65.91,1.08,0.98,0.01
2024-03-23 09:00:00,Home_2,Chennai,1.87,1,23.71,41.05,1.55,0.66,0.26
2024-03-10 12:00:00,Home_3,Kolkata,3.16,0,23.46,,1.5,1.23,0.51
2024-04-01 15:00:00,Home_5,Lucknow,3.53,1,18.45,45.56,1.38,1.13,0.47
2024-02-19 18:00:00,Home_4,Hyderabad,4.62,1,31.87,52.13,1.24,0.97,0.75
2024-01-27 12:00:00,Home_2,Delhi,4.04,1,25.16,56.22,0.1,1.39,0.46
2024-02-26 12:00:00,Home_7,Bangalore,5.34,1,19.62,70.86,1.07,0.63,0.26
2024-03-23 07:00:00,Home_1,Jaipur,3.82,1,24.28,46.98,1.57,0.15,0.55
2024-04-07 21:00:00,Home_5,Jaipur,4.81,1,29.45,61.6,1.5,0.15,0.62
2024-04-05 13:00:00,Home_6,Pune,3.33,0,24.94,59.66,0.84,0.96,0.52
2024-03-27 13:00:00,Home_2,Lucknow,3.59,1,30.12,57.05,1.43,0.53,0.65
2024-04-03 14:00:00,Home_9,Delhi,4.09,0,29.18,74.99,1.88,0.99,0.34
2024-04-02 02:00:00,Home_7,Kolkata,2.87,1,17.06,52.07,1.26,0.12,0.51
2024-01-09 13:00:00,Home_4,Chennai,3.14,1,23.89,70.91,1.19,1.6,1.47
2024-03-21 20:00:00,Home_7,Lucknow,2.42,0,25.48,75.08,0.47,0.14,0.09
2024-01-16 20:00:00,Home_1,Mumbai,3.29,1,23.24,65.67,0.34,0.42,1.04
2024-02-16 01:00:00,Home_2,Hyderabad,4.14,1,28.4,70.62,1.99,1.61,0.61
